Date,Open,High,Low,Close,Adj Close,Volume
2014-05-02,1276.699951,1302.699951,1276.699951,1302.599976,1302.599976,25
2014-05-04,null,null,null,null,null,null
2014-05-05,1305.599976,1314.199951,1305.500000,1309.000000,1309.000000,90
2014-05-06,1309.400024,1309.400024,1306.900024,1308.300049,1308.300049,31
2014-05-07,1310.300049,1312.000000,1288.000000,1288.599976,1288.599976,14
2014-05-08,1291.500000,1291.500000,1285.500000,1287.400024,1287.400024,21
2014-05-09,1287.300049,1287.300049,1287.300049,1287.300049,1287.300049,65
2014-05-11,null,null,null,null,null,null
2014-05-12,1282.099976,1295.900024,1281.199951,1295.599976,1295.599976,3
2014-05-13,1295.500000,1295.500000,1292.000000,1294.599976,1294.599976,19
2014-05-14,1292.800049,1306.900024,1292.800049,1305.699951,1305.699951,20
2014-05-15,1302.500000,1302.500000,1292.800049,1293.500000,1293.500000,25
2014-05-16,1293.300049,1293.300049,1293.300049,1293.300049,1293.300049,27
2014-05-18,null,null,null,null,null,null
2014-05-19,1293.699951,1293.699951,1293.699951,1293.699951,1293.699951,8
2014-05-20,1290.699951,1294.500000,1290.099976,1294.500000,1294.500000,44
2014-05-21,1287.400024,1288.000000,1287.400024,1288.000000,1288.000000,8
2014-05-22,1294.199951,1295.000000,1294.199951,1294.900024,1294.900024,2
2014-05-23,1293.199951,1293.400024,1291.599976,1291.599976,1291.599976,4
2014-05-25,null,null,null,null,null,null
2014-05-27,1291.900024,1291.900024,1265.400024,1265.400024,1265.400024,3
2014-05-28,1259.300049,1259.300049,1259.300049,1259.300049,1259.300049,25
2014-05-29,1258.300049,1260.599976,1250.900024,1256.300049,1256.300049,168825
2014-05-30,1255.099976,1259.599976,1241.800049,1245.599976,1245.599976,38045
2014-06-01,null,null,null,null,null,null
2014-06-02,1250.000000,1250.699951,1240.900024,1243.699951,1243.699951,3839
2014-06-03,1244.099976,1247.500000,1240.500000,1244.300049,1244.300049,774
2014-06-04,1245.099976,1248.800049,1242.699951,1244.000000,1244.000000,654
2014-06-05,1244.000000,1256.599976,1241.199951,1253.000000,1253.000000,604
2014-06-06,1253.400024,1256.599976,1246.300049,1252.099976,1252.099976,1317
2014-06-08,null,null,null,null,null,null
2014-06-09,1252.699951,1256.099976,1252.599976,1253.500000,1253.500000,381
2014-06-10,1252.400024,1262.300049,1251.000000,1259.800049,1259.800049,97
2014-06-11,1259.900024,1264.400024,1259.099976,1260.800049,1260.800049,1007
2014-06-12,1260.000000,1274.500000,1260.000000,1273.599976,1273.599976,128
2014-06-13,1272.500000,1274.699951,1271.300049,1273.699951,1273.699951,129
2014-06-15,null,null,null,null,null,null
2014-06-16,1279.800049,1282.099976,1270.800049,1274.900024,1274.900024,145
2014-06-17,1272.800049,1272.800049,1260.900024,1271.699951,1271.699951,334
2014-06-18,1269.900024,1272.699951,1267.400024,1272.400024,1272.400024,819
2014-06-19,1277.199951,1321.000000,1277.199951,1313.699951,1313.699951,143
2014-06-20,1321.400024,1321.400024,1306.800049,1316.199951,1316.199951,601
2014-06-22,null,null,null,null,null,null
2014-06-23,1312.300049,1318.000000,1312.300049,1318.000000,1318.000000,254
2014-06-24,1315.599976,1325.599976,1315.599976,1320.900024,1320.900024,142
2014-06-25,1315.300049,1323.400024,1312.000000,1322.199951,1322.199951,223
2014-06-26,1319.599976,1319.599976,1312.400024,1316.099976,1316.099976,294
2014-06-27,1317.400024,1320.900024,1313.300049,1319.000000,1319.000000,1204
2014-06-29,null,null,null,null,null,null
2014-06-30,1315.300049,1328.699951,1311.800049,1321.800049,1321.800049,625
2014-07-01,1326.699951,1331.400024,1326.199951,1326.400024,1326.400024,744
2014-07-02,1326.800049,1330.699951,1326.800049,1330.699951,1330.699951,51
2014-07-03,null,null,null,null,null,null
2014-07-06,null,null,null,null,null,null
2014-07-07,1318.699951,1320.300049,1313.199951,1316.500000,1316.500000,40
2014-07-08,1318.400024,1323.500000,1316.000000,1316.000000,1316.000000,93
2014-07-09,1324.000000,1330.400024,1323.800049,1323.800049,1323.800049,6
2014-07-10,1330.500000,1343.699951,1328.000000,1338.699951,1338.699951,16
2014-07-11,1337.900024,1339.000000,1336.199951,1337.000000,1337.000000,28
2014-07-13,null,null,null,null,null,null
2014-07-14,1332.800049,1332.800049,1304.699951,1306.300049,1306.300049,112
2014-07-15,1307.400024,1311.900024,1294.099976,1296.900024,1296.900024,103
2014-07-16,1298.400024,1303.099976,1296.900024,1299.599976,1299.599976,368
2014-07-17,1303.099976,1323.800049,1303.099976,1316.699951,1316.699951,34
2014-07-18,1322.699951,1322.699951,1306.199951,1309.199951,1309.199951,16
2014-07-20,null,null,null,null,null,null
2014-07-21,1311.000000,1315.500000,1311.000000,1313.699951,1313.699951,27
2014-07-22,1306.099976,1306.099976,1306.099976,1306.099976,1306.099976,18
2014-07-23,1304.500000,1304.500000,1304.500000,1304.500000,1304.500000,2
2014-07-24,1297.500000,1297.500000,1290.599976,1290.599976,1290.599976,0
2014-07-25,1294.800049,1303.099976,1294.800049,1303.099976,1303.099976,1
2014-07-27,null,null,null,null,null,null
2014-07-28,1307.400024,1308.000000,1303.300049,1303.300049,1303.300049,8
2014-07-29,1310.900024,1310.900024,1298.300049,1298.300049,1298.300049,52
2014-07-30,1298.599976,1303.000000,1291.000000,1294.900024,1294.900024,181554
2014-07-31,1295.099976,1297.300049,1280.599976,1281.300049,1281.300049,36189
2014-08-01,1284.099976,1296.599976,1279.699951,1293.599976,1293.599976,5663
2014-08-03,null,null,null,null,null,null
2014-08-04,1294.400024,1295.000000,1285.900024,1287.699951,1287.699951,1985
2014-08-05,1288.000000,1292.699951,1282.599976,1284.000000,1284.000000,917
2014-08-06,1288.099976,1309.000000,1287.800049,1306.699951,1306.699951,825
2014-08-07,1305.300049,1313.099976,1302.500000,1310.800049,1310.800049,706
2014-08-08,1310.800049,1321.400024,1308.000000,1308.900024,1308.900024,225
2014-08-10,null,null,null,null,null,null
2014-08-11,1308.400024,1309.699951,1305.300049,1308.500000,1308.500000,586
2014-08-12,1306.199951,1315.800049,1305.800049,1308.800049,1308.800049,194
2014-08-13,1308.800049,1312.800049,1305.000000,1312.800049,1312.800049,438
2014-08-14,1311.800049,1316.400024,1309.699951,1313.900024,1313.900024,238
2014-08-15,1311.699951,1312.800049,1292.000000,1304.500000,1304.500000,320
2014-08-17,null,null,null,null,null,null
2014-08-18,1301.400024,1302.099976,1295.699951,1297.699951,1297.699951,199
2014-08-19,1298.800049,1301.599976,1294.000000,1295.099976,1295.099976,100
2014-08-20,1295.400024,1295.800049,1288.400024,1293.400024,1293.400024,144
2014-08-21,1290.000000,1290.000000,1272.000000,1273.699951,1273.699951,332
2014-08-22,1276.000000,1280.000000,1275.000000,1278.599976,1278.599976,264
2014-08-24,null,null,null,null,null,null
2014-08-25,1277.300049,1277.599976,1273.699951,1277.300049,1277.300049,119
2014-08-26,1289.400024,1289.500000,1281.099976,1283.800049,1283.800049,251
2014-08-27,1281.500000,1282.300049,1281.500000,1281.900024,1281.900024,74
2014-08-28,1284.500000,1293.699951,1284.300049,1288.699951,1288.699951,783
2014-08-29,1289.500000,1289.699951,1284.800049,1285.800049,1285.800049,817
2014-08-31,null,null,null,null,null,null
2014-09-02,1284.500000,1286.400024,1262.500000,1263.699951,1263.699951,116
2014-09-03,1266.300049,1271.099976,1263.099976,1268.900024,1268.900024,280
2014-09-04,1268.699951,1272.699951,1260.400024,1265.099976,1265.099976,279
2014-09-05,1263.199951,1268.099976,1263.199951,1265.800049,1265.800049,290
2014-09-07,null,null,null,null,null,null
2014-09-08,1268.400024,1268.400024,1252.699951,1252.699951,1252.699951,123
2014-09-09,1246.800049,1246.800049,1246.800049,1246.800049,1246.800049,2
2014-09-10,1256.699951,1256.699951,1243.500000,1243.500000,1243.500000,0
2014-09-11,1237.400024,1237.400024,1237.400024,1237.400024,1237.400024,95
2014-09-12,1227.000000,1229.900024,1227.000000,1229.900024,1229.900024,0
2014-09-14,null,null,null,null,null,null
2014-09-15,1226.699951,1235.000000,1226.699951,1233.599976,1233.599976,47
2014-09-16,1238.300049,1238.300049,1235.199951,1235.199951,1235.199951,21
2014-09-17,1236.199951,1236.199951,1221.900024,1234.400024,1234.400024,3
2014-09-18,1216.199951,1225.699951,1216.199951,1225.699951,1225.699951,10
2014-09-19,1218.300049,1218.300049,1215.300049,1215.300049,1215.300049,5
2014-09-21,null,null,null,null,null,null
2014-09-22,1214.900024,1216.800049,1212.400024,1216.800049,1216.800049,4
2014-09-23,1221.000000,1221.000000,1221.000000,1221.000000,1221.000000,7
2014-09-24,1218.599976,1218.599976,1216.800049,1218.599976,1218.599976,5
2014-09-25,1209.500000,1221.199951,1209.500000,1221.199951,1221.199951,2
2014-09-26,1214.099976,1214.099976,1214.099976,1214.099976,1214.099976,11
2014-09-28,null,null,null,null,null,null
2014-09-29,1216.300049,1222.199951,1214.800049,1217.500000,1217.500000,19497
2014-09-30,1214.800049,1218.199951,1204.000000,1210.500000,1210.500000,6344
2014-10-01,1207.699951,1217.800049,1205.500000,1214.599976,1214.599976,680
2014-10-02,1215.300049,1219.500000,1210.300049,1214.199951,1214.199951,178
2014-10-03,1212.400024,1212.400024,1191.000000,1192.199951,1192.199951,176
2014-10-05,null,null,null,null,null,null
2014-10-06,1187.699951,1208.000000,1182.800049,1206.699951,1206.699951,499
2014-10-07,1209.099976,1211.699951,1205.300049,1211.699951,1211.699951,415
2014-10-08,1210.199951,1217.900024,1205.300049,1205.300049,1205.300049,272
2014-10-09,1223.900024,1229.000000,1223.900024,1224.599976,1224.599976,9
2014-10-10,1223.500000,1223.500000,1217.000000,1221.000000,1221.000000,19
2014-10-12,null,null,null,null,null,null
2014-10-13,1229.800049,1234.000000,1227.000000,1229.300049,1229.300049,186
2014-10-14,1235.900024,1235.900024,1233.599976,1233.599976,1233.599976,103
2014-10-15,1243.699951,1247.000000,1243.699951,1244.099976,1244.099976,73
2014-10-16,1242.099976,1243.000000,1236.699951,1240.500000,1240.500000,250
2014-10-17,1237.400024,1238.300049,1232.599976,1238.300049,1238.300049,6
2014-10-19,null,null,null,null,null,null
2014-10-20,1237.300049,1244.000000,1235.400024,1244.000000,1244.000000,356
2014-10-21,1251.000000,1251.000000,1251.000000,1251.000000,1251.000000,105
2014-10-22,1244.800049,1244.800049,1244.800049,1244.800049,1244.800049,48
2014-10-23,1228.000000,1228.500000,1227.900024,1228.500000,1228.500000,2
2014-10-24,1229.400024,1232.699951,1229.400024,1231.199951,1231.199951,2
2014-10-26,null,null,null,null,null,null
2014-10-27,1230.199951,1230.199951,1227.300049,1229.099976,1229.099976,71
2014-10-28,1224.900024,1231.000000,1224.699951,1229.199951,1229.199951,282
2014-10-29,1224.300049,1224.300049,1224.300049,1224.300049,1224.300049,46
2014-10-30,1213.699951,1214.699951,1195.800049,1198.099976,1198.099976,631
2014-10-31,1199.599976,1199.699951,1161.400024,1171.099976,1171.099976,521
2014-11-02,null,null,null,null,null,null
2014-11-03,1166.400024,1172.300049,1163.099976,1169.400024,1169.400024,260
2014-11-04,1166.900024,1171.000000,1165.000000,1167.400024,1167.400024,60
2014-11-05,1168.099976,1168.699951,1137.800049,1145.400024,1145.400024,40
2014-11-06,1141.099976,1147.500000,1137.900024,1142.300049,1142.300049,157
2014-11-07,1139.900024,1169.699951,1133.000000,1169.599976,1169.599976,137
2014-11-09,null,null,null,null,null,null
2014-11-10,1171.000000,1171.000000,1150.699951,1159.599976,1159.599976,97
2014-11-11,1155.000000,1170.500000,1151.599976,1162.800049,1162.800049,40
2014-11-12,1162.500000,1168.099976,1157.500000,1158.900024,1158.900024,22
2014-11-13,1163.699951,1164.500000,1155.000000,1161.099976,1161.099976,17
2014-11-14,1155.199951,1191.000000,1148.000000,1185.000000,1185.000000,1047
2014-11-16,null,null,null,null,null,null
2014-11-17,1183.099976,1186.900024,1180.599976,1183.000000,1183.000000,486
2014-11-18,1197.099976,1197.099976,1193.900024,1196.699951,1196.699951,17
2014-11-19,1196.500000,1198.300049,1190.599976,1193.599976,1193.599976,2
2014-11-20,1191.800049,1191.900024,1190.699951,1190.699951,1190.699951,23
2014-11-21,1191.000000,1202.400024,1189.000000,1197.500000,1197.500000,3
2014-11-23,null,null,null,null,null,null
2014-11-24,1197.699951,1197.900024,1195.500000,1195.500000,1195.500000,20
2014-11-25,1197.099976,1197.099976,1197.099976,1197.099976,1197.099976,17
2014-11-26,1200.500000,1201.000000,1193.699951,1196.599976,1196.599976,210753
2014-11-28,null,null,null,null,null,null
2014-11-30,null,null,null,null,null,null
2014-12-01,1160.000000,1220.400024,1141.699951,1218.000000,1218.000000,11175
2014-12-02,1212.300049,1212.300049,1191.300049,1199.199951,1199.199951,5524
2014-12-03,1198.099976,1213.699951,1196.099976,1208.500000,1208.500000,1236
2014-12-04,1208.199951,1213.000000,1201.599976,1207.500000,1207.500000,440
2014-12-05,1203.099976,1206.000000,1186.699951,1190.099976,1190.099976,358
2014-12-07,null,null,null,null,null,null
2014-12-08,1190.599976,1207.000000,1187.199951,1194.699951,1194.699951,560
2014-12-09,1202.000000,1238.000000,1202.000000,1231.500000,1231.500000,183
2014-12-10,1231.199951,1234.599976,1226.599976,1228.900024,1228.900024,314
2014-12-11,1226.599976,1231.199951,1216.199951,1225.099976,1225.099976,306
2014-12-12,1227.800049,1227.800049,1216.199951,1222.000000,1222.000000,264
2014-12-14,null,null,null,null,null,null
2014-12-15,1223.099976,1223.099976,1198.400024,1207.199951,1207.199951,203
2014-12-16,1197.199951,1222.000000,1192.699951,1193.900024,1193.900024,77
2014-12-17,1198.199951,1199.599976,1184.000000,1194.300049,1194.300049,223
2014-12-18,1189.699951,1207.300049,1189.699951,1194.699951,1194.699951,94
2014-12-19,1198.000000,1200.800049,1195.900024,1195.900024,1195.900024,197
2014-12-21,null,null,null,null,null,null
2014-12-22,1198.000000,1198.000000,1172.699951,1179.699951,1179.699951,96
2014-12-23,1179.300049,1180.300049,1175.000000,1177.900024,1177.900024,223
2014-12-24,null,null,null,null,null,null
2014-12-26,1177.199951,1195.300049,1177.199951,1195.300049,1195.300049,23
2014-12-28,null,null,null,null,null,null
2014-12-29,1186.500000,1186.500000,1181.300049,1181.699951,1181.699951,124
2014-12-30,1181.400024,1210.300049,1181.400024,1200.199951,1200.199951,180
2014-12-31,1199.199951,1199.199951,1182.699951,1183.900024,1183.900024,191
2015-01-02,1184.000000,1194.500000,1169.500000,1186.000000,1186.000000,92
2015-01-04,null,null,null,null,null,null
2015-01-05,1180.300049,1206.900024,1180.099976,1203.900024,1203.900024,138
2015-01-06,1203.500000,1220.000000,1203.500000,1219.300049,1219.300049,470
2015-01-07,1219.199951,1219.199951,1210.599976,1210.599976,1210.599976,97
2015-01-08,1207.000000,1215.699951,1206.300049,1208.400024,1208.400024,29
2015-01-09,1211.099976,1220.199951,1210.300049,1216.000000,1216.000000,92
2015-01-11,null,null,null,null,null,null
2015-01-12,1224.199951,1234.400024,1219.099976,1232.699951,1232.699951,43
2015-01-13,1239.199951,1239.300049,1230.300049,1234.300049,1234.300049,100
2015-01-14,1229.599976,1243.800049,1225.599976,1234.400024,1234.400024,20
2015-01-15,1231.500000,1265.000000,1227.300049,1264.699951,1264.699951,21
2015-01-16,1256.099976,1279.699951,1256.099976,1276.900024,1276.900024,130
2015-01-18,null,null,null,null,null,null
2015-01-20,1278.900024,1297.300049,1273.800049,1294.199951,1294.199951,44
2015-01-21,1295.199951,1303.500000,1286.699951,1293.699951,1293.699951,157
2015-01-22,1293.199951,1302.099976,1283.500000,1300.699951,1300.699951,78
2015-01-23,1299.800049,1299.800049,1292.599976,1292.599976,1292.599976,131
2015-01-25,null,null,null,null,null,null
2015-01-26,1289.500000,1290.599976,1279.400024,1279.400024,1279.400024,23
2015-01-27,1277.199951,1291.699951,1277.199951,1291.699951,1291.699951,26
2015-01-28,1285.900024,1286.800049,1285.900024,1285.900024,1285.900024,20
2015-01-29,1283.300049,1285.400024,1251.000000,1254.599976,1254.599976,180387
2015-01-30,1258.000000,1284.300049,1257.000000,1278.500000,1278.500000,67983
2015-02-01,null,null,null,null,null,null
2015-02-02,1284.099976,1284.099976,1266.000000,1276.199951,1276.199951,8626
2015-02-03,1273.500000,1284.699951,1255.300049,1259.699951,1259.699951,1654
2015-02-04,1262.000000,1271.599976,1256.800049,1263.800049,1263.800049,2380
2015-02-05,1271.800049,1272.599976,1257.800049,1262.000000,1262.000000,668
2015-02-06,1265.000000,1267.599976,1228.000000,1233.900024,1233.900024,133
2015-02-08,null,null,null,null,null,null
2015-02-09,1237.500000,1242.300049,1235.400024,1240.800049,1240.800049,432
2015-02-10,1237.500000,1245.000000,1231.199951,1231.599976,1231.599976,319
2015-02-11,1233.300049,1237.400024,1219.000000,1219.000000,1219.000000,231
2015-02-12,1217.900024,1229.800049,1217.900024,1220.099976,1220.099976,102
2015-02-13,1222.199951,1232.800049,1222.199951,1226.500000,1226.500000,99
2015-02-15,null,null,null,null,null,null
2015-02-17,1227.699951,1234.000000,1203.000000,1208.099976,1208.099976,65
2015-02-18,1207.099976,1210.199951,1197.800049,1199.699951,1199.699951,204
2015-02-19,1216.500000,1220.000000,1205.000000,1207.099976,1207.099976,147
2015-02-20,1206.500000,1213.099976,1199.099976,1204.400024,1204.400024,65
2015-02-22,null,null,null,null,null,null
2015-02-23,1201.300049,1203.300049,1191.599976,1200.300049,1200.300049,51
2015-02-24,1203.400024,1203.500000,1193.800049,1196.900024,1196.900024,268
2015-02-25,1204.300049,1204.599976,1201.000000,1201.000000,1201.000000,151
2015-02-26,1204.800049,1219.000000,1204.800049,1209.599976,1209.599976,570
2015-02-27,1207.699951,1217.800049,1204.500000,1212.599976,1212.599976,560
2015-03-01,null,null,null,null,null,null
2015-03-02,1214.300049,1222.699951,1204.900024,1207.699951,1207.699951,195
2015-03-03,1201.500000,1212.000000,1195.000000,1204.000000,1204.000000,124
2015-03-04,1204.800049,1206.900024,1198.000000,1200.599976,1200.599976,51
2015-03-05,1201.699951,1205.400024,1195.900024,1195.900024,1195.900024,27
2015-03-06,1195.000000,1195.699951,1163.699951,1164.099976,1164.099976,29
2015-03-08,null,null,null,null,null,null
2015-03-09,1169.400024,1174.199951,1166.300049,1166.400024,1166.400024,168
2015-03-10,1166.400024,1168.400024,1156.500000,1160.099976,1160.099976,45
2015-03-11,1162.000000,1162.000000,1147.699951,1150.699951,1150.699951,94
2015-03-12,1155.400024,1160.500000,1149.699951,1152.099976,1152.099976,74
2015-03-13,1158.199951,1159.199951,1152.599976,1152.599976,1152.599976,63
2015-03-15,null,null,null,null,null,null
2015-03-16,1159.699951,1162.300049,1150.099976,1153.300049,1153.300049,44
2015-03-17,1153.599976,1158.199951,1144.300049,1148.300049,1148.300049,56
2015-03-18,1148.699951,1174.300049,1147.000000,1151.400024,1151.400024,71
2015-03-19,1171.599976,1171.599976,1159.300049,1169.099976,1169.099976,112
2015-03-20,1171.000000,1185.400024,1171.000000,1184.800049,1184.800049,39
2015-03-22,null,null,null,null,null,null
2015-03-23,1181.599976,1188.000000,1181.199951,1188.000000,1188.000000,54
2015-03-24,1188.000000,1193.000000,1186.000000,1191.699951,1191.699951,5
2015-03-25,1192.500000,1199.199951,1192.500000,1197.300049,1197.300049,411
2015-03-26,1198.199951,1213.699951,1198.199951,1205.099976,1205.099976,11
2015-03-27,1197.000000,1199.800049,1196.300049,1199.800049,1199.800049,68
2015-03-29,null,null,null,null,null,null
2015-03-30,1198.000000,1198.500000,1181.599976,1184.800049,1184.800049,172260
2015-03-31,1185.800049,1190.099976,1178.199951,1183.099976,1183.099976,37990
2015-04-01,1182.900024,1208.199951,1181.000000,1208.099976,1208.099976,3409
2015-04-02,1204.000000,1205.699951,1194.800049,1200.900024,1200.900024,1632
2015-04-05,null,null,null,null,null,null
2015-04-06,1209.900024,1224.199951,1209.900024,1218.599976,1218.599976,1684
2015-04-07,1214.800049,1214.800049,1208.199951,1210.599976,1210.599976,343
2015-04-08,1208.900024,1211.400024,1197.599976,1203.099976,1203.099976,406
2015-04-09,1201.699951,1202.500000,1193.000000,1193.599976,1193.599976,236
2015-04-10,1195.800049,1209.599976,1195.800049,1204.599976,1204.599976,521
2015-04-12,null,null,null,null,null,null
2015-04-13,1208.099976,1208.099976,1198.300049,1199.300049,1199.300049,202
2015-04-14,1198.800049,1200.599976,1184.099976,1192.800049,1192.800049,424
2015-04-15,1194.599976,1203.099976,1188.599976,1201.500000,1201.500000,546
2015-04-16,1204.300049,1208.500000,1194.599976,1198.000000,1198.000000,196
2015-04-17,1200.199951,1206.000000,1200.199951,1202.900024,1202.900024,199
2015-04-19,null,null,null,null,null,null
2015-04-20,1205.699951,1206.900024,1191.000000,1193.500000,1193.500000,21
2015-04-21,1193.199951,1202.900024,1192.800049,1202.900024,1202.900024,67
2015-04-22,1199.099976,1202.599976,1185.199951,1186.900024,1186.900024,33
2015-04-23,1187.199951,1197.000000,1186.099976,1194.400024,1194.400024,93
2015-04-24,1192.300049,1194.699951,1174.599976,1175.199951,1175.199951,331
2015-04-26,null,null,null,null,null,null
2015-04-27,1182.300049,1206.699951,1181.400024,1203.300049,1203.300049,52
2015-04-28,1199.699951,1214.000000,1199.699951,1214.000000,1214.000000,194
2015-04-29,1211.199951,1212.599976,1201.900024,1209.800049,1209.800049,401
2015-04-30,1203.099976,1205.900024,1176.699951,1182.400024,1182.400024,114
2015-05-01,1178.099976,1178.099976,1170.000000,1174.500000,1174.500000,143